source_id	source_qualified_name	edge_type	target_id	target_qualified_name	properties
2118	D-twse.model.module.BinarySphericalQuantizer.forward	CALLS	2121	D-twse.model.module.BinarySphericalQuantizer.codes_to_indexes	{"callee":"self.codes_to_indexes","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"zq.detach()"}]}
2118	D-twse.model.module.BinarySphericalQuantizer.forward	CALLS	2120	D-twse.model.module.BinarySphericalQuantizer.get_hard_per_sample_entropy	{"callee":"self.get_hard_per_sample_entropy","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"zb_by_sample"}]}
2118	D-twse.model.module.BinarySphericalQuantizer.forward	CALLS	2117	D-twse.model.module.BinarySphericalQuantizer.quantize	{"callee":"self.quantize","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"z"}]}
2118	D-twse.model.module.BinarySphericalQuantizer.forward	CALLS	2119	D-twse.model.module.BinarySphericalQuantizer.soft_entropy_loss	{"callee":"self.soft_entropy_loss","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"z"}]}
2118	D-twse.model.module.BinarySphericalQuantizer.forward	CALLS	2114	D-twse.model.module.codebook_entropy	{"callee":"codebook_entropy","confidence":0.95,"strategy":"lsp_direct","candidates":1,"args":[{"i":0,"e":"zq"},{"i":1,"e":"self.basis"},{"i":2,"e":"self.embed_dim"}]}
2127	D-twse.model.module.BinarySphericalQuantizer.get_codebook_entry	CALLS	2123	D-twse.model.module.BinarySphericalQuantizer.indexes_to_codes	{"callee":"self.indexes_to_codes","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"indices"}]}
2125	D-twse.model.module.BinarySphericalQuantizer.get_entropy	CALLS	2535	D-twse._api_test.log	{"callee":"torch.log","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"probs + 1e-8"}]}
2126	D-twse.model.module.BinarySphericalQuantizer.get_group_codebook_entry	CALLS	2124	D-twse.model.module.BinarySphericalQuantizer.group_indexes_to_codes	{"callee":"self.group_indexes_to_codes","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"group_indices"}]}
2120	D-twse.model.module.BinarySphericalQuantizer.get_hard_per_sample_entropy	CALLS	2535	D-twse._api_test.log	{"callee":"torch.log","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"1 - probs_per_dim + 1e-8"}]}
2119	D-twse.model.module.BinarySphericalQuantizer.soft_entropy_loss	CALLS	2125	D-twse.model.module.BinarySphericalQuantizer.get_entropy	{"callee":"self.get_entropy","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"avg_prob"},{"i":1,"k":"dim","e":"-1"},{"i":2,"k":"normalize","e":"False"}]}
